,Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Squad,League
153,Tosin Adarabioyo,eng ENG,DF,26.0,15.7,4,0,0,8,9,1,0,11,13,0,0,0,41,42,28,60.0,Matches,Chelsea,Premier-League
154,Wesley Fofana,fr FRA,DF,23.0,13.0,7,0,0,24,16,0,1,14,12,0,0,0,54,27,12,69.2,Matches,Chelsea,Premier-League
155,Reece James,eng ENG,"DF,MF",24.0,11.8,1,0,0,8,11,0,43,13,9,0,0,0,66,23,9,71.9,Matches,Chelsea,Premier-League
156,Trevoh Chalobah,eng ENG,DF,25.0,10.1,2,0,0,9,7,0,3,10,7,0,0,0,29,23,12,65.7,Matches,Chelsea,Premier-League
157,Roméo Lavia,be BEL,MF,20.0,8.9,4,0,0,16,7,0,0,16,13,0,1,0,40,12,6,66.7,Matches,Chelsea,Premier-League
158,Christopher Nkunku,fr FRA,FW,26.0,10.2,2,0,0,16,11,3,4,7,8,0,0,0,29,16,22,42.1,Matches,Chelsea,Premier-League
159,Filip Jørgensen,dk DEN,GK,22.0,6.0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,0,,Matches,Chelsea,Premier-League
160,Axel Disasi,fr FRA,DF,26.0,4.0,1,0,0,2,0,0,0,2,4,0,0,0,15,5,2,71.4,Matches,Chelsea,Premier-League
161,João Félix,pt POR,"FW,MF",24.0,4.1,2,0,0,6,17,1,0,3,3,0,0,0,22,4,5,44.4,Matches,Chelsea,Premier-League
162,Benoît Badiashile,fr FRA,DF,23.0,3.7,0,0,0,6,2,0,0,6,6,0,0,0,18,8,2,80.0,Matches,Chelsea,Premier-League
163,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",25.0,2.9,0,0,0,4,6,0,2,2,5,0,0,0,9,0,1,0.0,Matches,Chelsea,Premier-League
164,Joshua Acheampong,eng ENG,DF,18.0,1.9,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3,Matches,Chelsea,Premier-League
165,Tyrique George,eng ENG,FW,18.0,2.0,1,0,0,3,0,2,3,2,0,0,0,0,4,0,4,0.0,Matches,Chelsea,Premier-League
166,Renato Veiga,pt POR,"DF,MF",21.0,2.0,2,0,0,6,1,1,0,1,6,0,0,0,9,3,3,50.0,Matches,Chelsea,Premier-League
167,Mykhailo Mudryk,ua UKR,FW,23.0,1.7,0,0,0,2,2,1,7,0,2,0,0,0,9,2,4,33.3,Matches,Chelsea,Premier-League
