,Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Squad,League
194,Matheus França,br BRA,"FW,MF",21-041,0.3,15,0,0,5,10,4,15,0,0,,0,,9,43,25,1,1,1,1,0,10,2,Matches,Crystal-Palace,Premier-League
195,Jordan Ayew,gh GHA,"FW,MF",33-243,0.2,12,0,0,7,5,1,12,0,0,,0,,6,25,12,0,0,0,0,1,9,1,Matches,Crystal-Palace,Premier-League
196,Caleb Kporha,eng ENG,DF,18-301,0.1,11,1,4,2,5,0,11,0,0,,0,,4,46,36,1,1,0,0,2,3,0,Matches,Crystal-Palace,Premier-League
197,Asher Agbinone,eng ENG,MF,19-226,0.1,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,2,0,0,0,1,5,1,Matches,Crystal-Palace,Premier-League
198,Joel Ward,eng ENG,DF,35-195,0.0,2,0,0,2,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches,Crystal-Palace,Premier-League
199,Jordan Pickford,eng ENG,GK,31-066,36.0,1608,1045,1540,69,0,0,1608,0,0,,0,,923,5644,3341,0,0,0,2,0,812,0,Matches,Everton,Premier-League
200,James Tarkowski,eng ENG,DF,32-174,32.5,1706,355,974,635,106,57,1706,7,5,71.4,2,28.6,727,3610,1943,9,10,0,13,7,927,3,Matches,Everton,Premier-League
201,Vitaliy Mykolenko,ua UKR,DF,25-348,32.2,1571,118,488,671,424,30,1571,20,8,40.0,9,45.0,655,2674,1442,31,27,1,21,11,799,92,Matches,Everton,Premier-League
202,Idrissa Gana Gueye,sn SEN,MF,35-228,32.0,1680,70,401,966,322,20,1680,36,17,47.2,17,47.2,800,3676,1634,26,27,4,32,33,966,24,Matches,Everton,Premier-League
203,Abdoulaye Doucouré,ml MLI,MF,32-131,27.6,1116,31,220,518,393,60,1116,44,24,54.5,20,45.5,590,2926,1390,42,25,8,36,35,720,92,Matches,Everton,Premier-League
204,Jarrad Branthwaite,eng ENG,DF,22-319,27.1,1457,207,759,640,66,26,1457,6,3,50.0,2,33.3,714,3901,2340,9,13,2,8,4,847,2,Matches,Everton,Premier-League
205,Iliman Ndiaye,sn SEN,FW,25-067,25.4,1005,34,204,413,436,77,1003,138,63,45.7,64,46.4,579,4529,2226,81,41,30,49,43,617,115,Matches,Everton,Premier-League
206,Jack Harrison,eng ENG,FW,28-173,21.8,909,31,147,322,448,66,909,73,23,31.5,42,57.5,504,3051,1599,71,35,16,52,40,588,121,Matches,Everton,Premier-League
207,Dominic Calvert-Lewin,eng ENG,FW,28-057,17.7,504,22,40,210,259,85,504,25,10,40.0,13,52.0,274,1401,444,22,8,16,74,33,409,108,Matches,Everton,Premier-League
208,Ashley Young,eng ENG,"DF,FW",39-307,19.0,1098,58,344,471,289,9,1098,17,5,29.4,9,52.9,442,2204,1239,21,25,1,9,1,562,29,Matches,Everton,Premier-League
209,James Garner,eng ENG,"MF,DF",24-060,15.7,861,37,206,440,223,9,861,18,6,33.3,12,66.7,417,1851,696,12,15,1,15,7,470,24,Matches,Everton,Premier-League
210,Jake O'Brien,ie IRL,DF,23-362,15.5,805,69,321,352,135,18,805,10,4,40.0,5,50.0,356,1594,743,7,6,2,5,5,428,24,Matches,Everton,Premier-League
211,Jesper Lindstrøm,dk DEN,FW,25-072,13.8,625,22,127,206,303,40,625,43,8,18.6,31,72.1,302,1627,780,30,19,7,31,24,347,81,Matches,Everton,Premier-League
212,Dwight McNeil,eng ENG,"MF,FW",25-171,14.4,705,5,70,307,346,24,705,41,22,53.7,18,43.9,419,2536,1086,37,31,5,25,29,480,76,Matches,Everton,Premier-League
