,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Squad,League
0,Wladimiro Falcone,it ITA,GK,30-023,35,35,3150,35.0,57,1.63,168,113,70.8,6,9,20,7,20.0,10,8,1,1,11.1,Matches,Lecce,Serie-A
0,Mike Maignan,fr FRA,GK,29-306,33,33,2934,32.6,36,1.1,120,86,70.8,14,9,10,11,33.3,2,1,1,0,50.0,Matches,Milan,Serie-A
1,Marco Sportiello,it ITA,GK,32-360,2,1,126,1.4,2,1.43,6,4,66.7,1,0,0,1,100.0,0,0,0,0,,Matches,Milan,Serie-A
0,Stefano Turati,it ITA,GK,23-242,30,30,2676,29.7,52,1.75,145,93,65.5,2,7,21,2,6.7,4,2,2,0,50.0,Matches,Monza,Serie-A
1,Semuel Pizzignacco,it ITA,GK,23-246,5,4,384,4.3,7,1.64,18,11,61.1,0,2,2,1,25.0,0,0,0,0,,Matches,Monza,Serie-A
0,Alex Meret,it ITA,GK,28-043,31,31,2735,30.4,23,0.76,77,53,71.4,20,7,4,14,45.2,4,1,2,1,66.7,Matches,Napoli,Serie-A
1,Elia Caprile,it ITA,GK,23-252,4,3,325,3.6,1,0.28,8,7,87.5,3,0,0,3,100.0,0,0,0,0,,Matches,Napoli,Serie-A
2,Simone Scuffet,it ITA,GK,28-338,1,1,90,1.0,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,Matches,Napoli,Serie-A
0,Zion Suzuki,jp JPN,GK,22-257,33,33,2970,33.8,49,1.48,140,93,68.6,6,14,14,6,18.2,5,5,0,0,0.0,Matches,Parma,Serie-A
1,Leandro Chichizola,ar ARG,GK,35-039,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,Parma,Serie-A
0,Mile Svilar,rs SRB,GK,25-251,34,34,3060,34.0,32,0.94,136,105,79.4,17,9,8,14,41.2,4,4,0,0,0.0,Matches,Roma,Serie-A
0,Vanja Milinković-Savić,rs SRB,GK,28-074,34,34,3060,34.0,37,1.09,157,118,77.1,10,14,10,10,29.4,5,1,4,0,80.0,Matches,Torino,Serie-A
1,Alberto Paleari,it ITA,GK,32-249,1,1,90,1.0,3,3.0,7,4,57.1,0,0,1,0,0.0,0,0,0,0,,Matches,Torino,Serie-A
0,Maduka Okoye,ng NGA,GK,25-250,22,22,1980,22.0,33,1.5,90,60,67.8,6,4,12,4,18.2,5,4,0,1,0.0,Matches,Udinese,Serie-A
