,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Squad,League
75,Fran,es ESP,GK,19-315,1,1,90,1.0,2,2.0,2,0,0.0,0,0,1,0,0.0,0,0,0,0,,Matches,Real-Madrid,La-Liga
76,Álex Remiro,es ESP,GK,30-042,33,33,2970,33.0,36,1.09,116,79,73.3,12,7,14,13,39.4,6,5,1,0,16.7,Matches,Real-Sociedad,La-Liga
77,Unai Marrero,es ESP,GK,23-208,1,1,90,1.0,1,1.0,4,3,75.0,0,0,1,0,0.0,0,0,0,0,,Matches,Real-Sociedad,La-Liga
78,Ørjan Nyland,no NOR,GK,34-237,27,27,2403,26.7,34,1.27,99,65,68.7,7,10,10,6,22.2,4,3,1,0,25.0,Matches,Sevilla,La-Liga
79,Álvaro Fernández,es ESP,GK,27-022,8,7,657,7.3,12,1.64,29,17,65.5,2,1,4,3,42.9,2,2,0,0,0.0,Matches,Sevilla,La-Liga
80,Giorgi Mamardashvili,ge GEO,GK,24-218,30,30,2700,30.0,45,1.5,120,76,65.8,10,10,10,7,23.3,6,4,2,0,33.3,Matches,Valencia,La-Liga
81,Stole Dimitrievski,mk MKD,GK,31-131,4,4,360,4.0,6,1.5,12,6,58.3,0,2,2,0,0.0,2,1,0,1,0.0,Matches,Valencia,La-Liga
82,Karl Jakob Hein,ee EST,GK,23-022,28,28,2520,28.0,63,2.25,148,86,59.5,4,4,20,5,17.9,3,3,0,0,0.0,Matches,Valladolid,La-Liga
83,André Ferreira,pt POR,GK,28-341,5,5,450,5.0,18,3.6,35,17,57.1,0,0,5,0,0.0,3,3,0,0,0.0,Matches,Valladolid,La-Liga
84,Arnau Rafús,es ESP,GK,22-008,1,1,90,1.0,2,2.0,2,0,0.0,0,0,1,0,0.0,0,0,0,0,,Matches,Valladolid,La-Liga
85,Diego Conde,es ESP,GK,26-189,21,21,1872,20.8,31,1.49,88,58,68.2,10,6,5,2,9.5,4,3,0,1,0.0,Matches,Villarreal,La-Liga
86,Luiz Lúcio Reis Júnior,br BRA,GK,24-111,14,13,1188,13.2,16,1.21,51,35,76.5,6,4,3,3,23.1,4,4,0,0,0.0,Matches,Villarreal,La-Liga
87,Marco Carnesecchi,it ITA,GK,24-308,32,32,2880,32.0,30,0.94,116,88,75.9,18,7,7,13,40.6,2,2,0,0,0.0,Matches,Atalanta,Serie-A
88,Rui Patrício,pt POR,GK,37-079,2,2,180,2.0,1,0.5,9,8,88.9,1,1,0,1,50.0,0,0,0,0,,Matches,Atalanta,Serie-A
89,Juan Musso,ar ARG,GK,30-364,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,Atalanta,Serie-A
90,Łukasz Skorupski,pl POL,GK,34-001,25,25,2184,24.3,27,1.11,72,46,63.9,11,12,2,8,32.0,2,1,1,0,50.0,Matches,Bologna,Serie-A
91,Federico Ravaglia,it ITA,GK,25-176,11,10,966,10.7,11,1.02,21,10,52.4,5,2,3,4,40.0,1,1,0,0,0.0,Matches,Bologna,Serie-A
92,Elia Caprile,it ITA,GK,23-253,16,16,1440,16.0,19,1.19,60,41,70.0,4,4,8,4,25.0,1,1,0,0,0.0,Matches,Cagliari,Serie-A
93,Simone Scuffet,it ITA,GK,28-339,13,13,1170,13.0,23,1.77,56,33,67.9,3,3,7,1,7.7,5,5,0,0,0.0,Matches,Cagliari,Serie-A
94,Alen Sherri,al ALB,GK,27-141,6,6,540,6.0,9,1.5,25,16,64.0,1,2,3,1,16.7,0,0,0,0,,Matches,Cagliari,Serie-A
95,Jean Butez,fr FRA,GK,29-331,17,17,1530,17.0,18,1.06,62,44,74.2,8,3,6,5,29.4,2,2,0,0,0.0,Matches,Como,Serie-A
96,Pepe Reina,es ESP,GK,42-247,10,10,900,10.0,12,1.2,35,23,68.6,2,4,4,2,20.0,1,1,0,0,0.0,Matches,Como,Serie-A
97,Emil Audero,id IDN,GK,28-107,8,8,720,8.0,18,2.25,34,16,58.8,2,2,4,0,0.0,4,4,0,0,0.0,Matches,Como,Serie-A
98,Devis Vásquez,co COL,GK,26-359,29,29,2610,29.0,41,1.41,118,76,66.1,4,12,13,6,20.7,3,1,1,1,50.0,Matches,Empoli,Serie-A
99,Marco Silvestri,it ITA,GK,34-065,5,5,450,5.0,11,2.2,27,17,59.3,0,1,4,0,0.0,0,0,0,0,,Matches,Empoli,Serie-A
100,Jacopo Seghetti,it ITA,GK,20-078,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,Empoli,Serie-A
101,David de Gea,es ESP,GK,34-179,32,32,2880,32.0,32,1.0,125,92,75.2,17,5,10,11,34.4,3,1,2,0,66.7,Matches,Fiorentina,Serie-A
102,Pietro Terracciano,it ITA,GK,35-058,3,3,270,3.0,3,1.0,13,10,76.9,0,3,0,1,33.3,0,0,0,0,,Matches,Fiorentina,Serie-A
103,Nicola Leali,it ITA,GK,32-078,27,27,2430,27.0,26,0.96,100,75,77.0,8,10,9,10,37.0,4,3,1,0,25.0,Matches,Genoa,Serie-A
104,Pierluigi Gollini,it ITA,GK,30-049,7,7,630,7.0,15,2.14,32,16,62.5,1,2,4,1,14.3,4,3,1,0,25.0,Matches,Genoa,Serie-A
105,Lorenzo Montipò,it ITA,GK,29-075,34,34,3060,34.0,62,1.82,153,91,60.8,9,5,20,8,23.5,4,2,1,1,33.3,Matches,Hellas-Verona,Serie-A
106,Simone Perilli,it ITA,GK,30-119,1,1,90,1.0,1,1.0,6,5,83.3,0,0,1,0,0.0,0,0,0,0,,Matches,Hellas-Verona,Serie-A
